,domain,method,train_size,test_loss,seed
0,depth,blind-guess,-1.0,0.08587,-1.0
1,depth,gold,-1.0,0.027816053,-1.0
2,depth,barlow_twins,100.0,0.0790347084403038,0.0
3,depth,color,100.0,0.08304063975811005,0.0
4,depth,color_task,100.0,0.08540455251932144,0.0
5,depth,jigsaw,100.0,0.07136932015419006,0.0
6,depth,jigsaw_task,100.0,0.0828569307923317,0.0
7,depth,moco,100.0,0.06597645580768585,0.0
8,depth,moco_task,100.0,0.06414354592561722,0.0
9,depth,moco_task,100.0,0.06427634507417679,1.0
10,depth,moco_task,100.0,0.06439796090126038,2.0
11,depth,moco_task,100.0,0.06653592735528946,4.0
12,depth,pirl,100.0,0.08698004484176636,0.0
13,depth,reshading,100.0,0.060894936323165894,0.0
14,depth,scratch,100.0,0.08751530945301056,0.0
15,depth,scratch,100.0,0.07961536198854446,1.0
16,depth,scratch,100.0,0.09228868037462234,2.0
17,depth,scratch,100.0,0.0827724039554596,3.0
18,depth,simclr,100.0,0.07765123248100281,0.0
19,depth,simclr,100.0,0.08210331946611404,42.0
20,depth,simsiam,100.0,0.07657334208488464,0.0
21,depth,sup,100.0,0.06444475799798965,0.0
22,depth,swav,100.0,0.08487479388713837,0.0
23,depth,swav,100.0,0.06831997632980347,1.0
24,depth,swav,100.0,0.06937659531831741,2.0
25,depth,swav_task,100.0,0.068052276968956,0.0
26,depth,swav_task,100.0,0.06890290975570679,1.0
27,depth,swav_task,100.0,0.07179620862007141,2.0
28,depth,swav_task,100.0,0.0697413831949234,4.0
29,depth,barlow_twins,1000.0,0.04936499148607254,0.0
30,depth,color,1000.0,0.05680731683969498,0.0
31,depth,color_task,1000.0,0.05957433953881264,0.0
32,depth,jigsaw,1000.0,0.0509931854903698,0.0
33,depth,jigsaw_task,1000.0,0.06094867363572121,0.0
34,depth,moco,1000.0,0.04967959225177765,0.0
35,depth,moco_task,1000.0,0.049963608384132385,0.0
36,depth,moco_task,1000.0,0.04958958178758621,1.0
37,depth,moco_task,1000.0,0.0493498221039772,2.0
38,depth,moco_task,1000.0,0.05124419182538986,4.0
39,depth,pirl,1000.0,0.05492739379405975,0.0
40,depth,reshading,1000.0,0.03940071538090706,0.0
41,depth,scratch,1000.0,0.06211988255381584,0.0
42,depth,scratch,1000.0,0.059883538633584976,1.0
43,depth,scratch,1000.0,0.06163519248366356,2.0
44,depth,scratch,1000.0,0.060624927282333374,3.0
45,depth,simclr,1000.0,0.04680846631526947,0.0
46,depth,simclr,1000.0,0.05747517943382263,42.0
47,depth,simsiam,1000.0,0.051931072026491165,0.0
48,depth,sup,1000.0,0.05010801926255226,0.0
49,depth,swav,1000.0,0.04955553263425827,0.0
50,depth,swav,1000.0,0.04711126163601875,1.0
51,depth,swav,1000.0,0.04855315759778023,2.0
52,depth,swav_task,1000.0,0.045281656086444855,0.0
53,depth,swav_task,1000.0,0.04372316971421242,1.0
54,depth,swav_task,1000.0,0.04590058699250221,2.0
55,depth,swav_task,1000.0,0.045430853962898254,4.0
56,depth,barlow_twins,10000.0,0.034841716289520264,0.0
57,depth,color,10000.0,0.04169013351202011,0.0
58,depth,color_task,10000.0,0.04454557225108147,0.0
59,depth,jigsaw,10000.0,0.039677947759628296,0.0
60,depth,jigsaw_task,10000.0,0.04675329849123955,0.0
61,depth,moco,10000.0,0.038064680993556976,0.0
62,depth,moco_task,10000.0,0.03765912353992462,0.0
63,depth,moco_task,10000.0,0.037182245403528214,1.0
64,depth,moco_task,10000.0,0.03821864351630211,2.0
65,depth,pirl,10000.0,0.04162467271089554,0.0
66,depth,reshading,10000.0,0.03393419459462166,0.0
67,depth,scratch,10000.0,0.04707067087292671,0.0
68,depth,scratch,10000.0,0.04639020189642906,1.0
69,depth,scratch,10000.0,0.04655846580862999,2.0
70,depth,simclr,10000.0,0.03428564593195915,0.0
71,depth,simclr,10000.0,0.03601675480604172,42.0
72,depth,simsiam,10000.0,0.041817806661129,0.0
73,depth,sup,10000.0,0.03871215134859085,0.0
74,depth,swav,10000.0,0.03501218929886818,0.0
75,depth,swav_task,10000.0,0.033891674131155014,0.0
76,depth,swav_task,10000.0,0.03337578848004341,1.0
77,depth,swav_task,10000.0,0.034866269677877426,2.0
78,depth,barlow_twins,100000.0,0.028119726106524467,0.0
79,depth,color,100000.0,0.03349292650818825,0.0
80,depth,color_task,100000.0,0.03444211184978485,0.0
81,depth,jigsaw,100000.0,0.028549952432513237,0.0
82,depth,jigsaw_task,100000.0,0.03357260674238205,0.0
83,depth,moco,100000.0,0.02780989930033684,0.0
84,depth,moco_task,100000.0,0.02937442623078823,0.0
85,depth,pirl,100000.0,0.0315844751894474,0.0
86,depth,reshading,100000.0,0.028952524065971375,0.0
87,depth,scratch,100000.0,0.0360320545732975,0.0
88,depth,scratch,100000.0,0.03488229215145111,1.0
89,depth,simclr,100000.0,0.02625534124672413,0.0
90,depth,simclr,100000.0,0.027430472895503044,42.0
